step,value,run
193,0.78125,earl-grpo
194,0.814453125,earl-grpo
195,0.7939453125,earl-grpo
196,0.8076171875,earl-grpo
197,0.7900390625,earl-grpo
198,0.77392578125,earl-grpo
199,0.7919921875,earl-grpo
200,0.7705078125,earl-grpo
201,0.79541015625,earl-grpo
202,0.7705078125,earl-grpo
203,0.796875,earl-grpo
204,0.806640625,earl-grpo
205,0.8330078125,earl-grpo
206,0.79736328125,earl-grpo
