step,value(earl-cpo),value(earl-grpo),value(earl-cpo-wop),value(earl-grpo-wop)
51,0.5256706575463688,0.4648646406009369,0.48736782321452815,0.34960509146606605
52,0.5152767350231844,0.46241278905046845,0.4739085209822641,0.340818170733033
53,0.5222868050115922,0.4794974101502342,0.49354605736613205,0.3627918978665165
54,0.5145613712557962,0.46167253320011714,0.506538653683066,0.3620600114332583
55,0.5189994356278981,0.47229134472505857,0.527195108091533,0.38122531821662914
56,0.5405055771889491,0.49298160986252926,0.5111561477957665,0.3700560184833146
57,0.5583387260944745,0.5128482268062646,0.5334101051478832,0.3786315248666573
58,0.5557806911722373,0.5074006759031323,0.5547909900739416,0.38951107493332865
59,0.5628024549611186,0.5129776817015661,0.5676786981619708,0.4030074905916643
60,0.5624070868555593,0.513324778350783,0.5638686459559854,0.40609358904583215
61,0.5624535434277796,0.5257053579253915,0.5558601042279927,0.4012889820229161
62,0.5842052873388899,0.5382433039626957,0.5774905989889964,0.40767574101145804
63,0.5789678780444449,0.5423150113563479,0.6000245963694981,0.423564433005729
64,0.5924624546472225,0.5546047713031739,0.6103150325597491,0.4324853415028645
65,0.5874909929486112,0.5395094169015869,0.6262024381548745,0.4425610301264322
66,0.5854935433493056,0.5292761928257934,0.6346344222024373,0.4642004369382161
67,0.5988991154246528,0.5483295026628967,0.6337234611012186,0.45817443721910805
68,0.6104847139623264,0.5590768607064484,0.6300941524256093,0.45345245298455406
69,0.5928400132311632,0.5432103053532242,0.6404865293378046,0.459392242117277
70,0.6235684441155815,0.5618883558016121,0.6327432646689023,0.4750574491836385
71,0.6328291439327908,0.5702508185258061,0.6718403823344512,0.4987591933418193
72,0.6355063688413953,0.581267987387903,0.6669748786672256,0.49962373729590964
73,0.6412395125456977,0.5772550874439515,0.6752843143336128,0.5093333530229548
74,0.6563131156478488,0.5789107468469757,0.6628374696668065,0.4997838640114774
75,0.6540842921989244,0.5873069359234879,0.6751687348334032,0.5218645882557387
76,0.6712804273494621,0.599805811711744,0.6569203049167016,0.49945768475286934
77,0.6559527136747311,0.596777905855872,0.6648859337083508,0.49655501425143467
78,0.6683083880873655,0.609912390427936,0.6717984356041754,0.5048693040007173
79,0.6569081002936827,0.590600726463968,0.6776960928020876,0.5038994957503586
80,0.6529169407718414,0.5977905976069839,0.6950492182760438,0.5239224041251793
81,0.6816830797609207,0.622381626928492,0.688833202888022,0.5229475301875897
82,0.6775114617554603,0.613436907214246,0.676447851444011,0.5217276713437948
83,0.6700545590027301,0.609696969232123,0.6929602538470054,0.5499263356718974
84,0.6699882170013651,0.6151512189910615,0.6733844237985027,0.5520627772109488
85,0.6699550460006826,0.6100658438705308,0.6914285400242514,0.5487364667304744
86,0.6826337730003413,0.6172887813102654,0.7058216918871256,0.5590362021152372
87,0.6972739177501707,0.6250506406551327,0.7125299865685628,0.5707778666826187
88,0.7089885213750853,0.6382089140775664,0.7105130401592814,0.5624885427163093
89,0.6855489481875426,0.6240360976637832,0.7021803482046407,0.5563907557331547
90,0.7121592397187713,0.6543032050818915,0.7072913459773204,0.5694551434915773
91,0.7049565729843856,0.6435578525409458,0.7088702823636601,0.5606064779957887
92,0.6964724271171928,0.6457535356454729,0.7140542818068301,0.5574028483728943
93,0.7068787916835964,0.6385505959477364,0.705415812778415,0.5558010335614472
94,0.7301483802167982,0.6442264698488682,0.7255106407642076,0.5882032511557236
95,0.7315292682333991,0.6360780786744341,0.7294545391321038,0.5892676412028618
96,0.7104911966166996,0.629074195587217,0.724590550816052,0.593217804976431
97,0.7334194264333498,0.6534042852936085,0.723379259783026,0.5844506993632155
98,0.7102155725916749,0.6326103457718042,0.734980645516513,0.5732312090566077
99,0.7313284894208374,0.6590786103859021,0.7420020415082564,0.5739691201533039
100,0.7409083853354187,0.668650633317951,0.7210986770041282,0.570675966326652
101,0.7496045832927094,0.6788077385339755,0.7340844947520642,0.571959076913326
102,0.7373511197713547,0.6675288692669877,0.7215344348760321,0.591399460331663
103,0.7375720442606774,0.6760495908834938,0.7150152643130161,0.5994106676658315
104,0.7413446158803387,0.6800658110667469,0.729333804031508,0.6236799432079158
105,0.7305355891901694,0.6698668899083735,0.742108308265754,0.6370352841039579
106,0.7585783414700846,0.6908904762041868,0.736288529132877,0.617101626426979
107,0.7481856551100423,0.6896835193520934,0.7455856708164386,0.6369199538384895
108,0.7495811088050212,0.6976249628010467,0.7465721322832193,0.6495146644192448
109,0.7549175075275105,0.6950038876505233,0.7414501286416096,0.6401870197096224
110,0.7395193006387553,0.6853925688252617,0.7420629549458049,0.6462653848548112
111,0.7386561346943776,0.6869345656626309,0.7611681962229024,0.6546756611774056
112,0.7257733798471888,0.6830668922063154,0.7587579262364512,0.6535097055887028
113,0.7417929399235944,0.6855275867281577,0.7458340412432256,0.6343720402943513
114,0.7290507668367971,0.6843165277390788,0.7501142862466128,0.6401840670221757
115,0.7085195240433986,0.6619824826195394,0.7339438618733064,0.6482170335110878
116,0.7216914026466993,0.6908545225597698,0.7434367746866533,0.653210079255544
117,0.7150937481983497,0.6759936675298849,0.7486715123433266,0.666937070877772
118,0.6993437490991748,0.6683190993899424,0.7464060686716634,0.671115019813886
119,0.7290664057995875,0.6962200965699712,0.7589452218358317,0.674424697406943
120,0.7468574216497937,0.7021139545349856,0.7588671421679158,0.6797416455784715
121,0.7550205076998968,0.7094554147674927,0.7656640398339579,0.6767848852892357
122,0.7385942382249484,0.6848058323837464,0.761494129291979,0.6677381457696179
123,0.7687111816124742,0.7098345568168731,0.7769872990209895,0.6934882135098089
124,0.766191528306237,0.7191750909084366,0.7996264620104947,0.7236972317549044
125,0.7712793579031185,0.7177418423292183,0.7879968247552473,0.7134111158774522
126,0.7635693664515593,0.7148279524146092,0.7968304436276237,0.7190102454387262
127,0.7704565582257796,0.7184979605823045,0.7756124874388118,0.7042316852193631
128,0.7675524978628898,0.7188681209161523,0.7786753843444059,0.6987955301096815
129,0.7890496864314449,0.7297953885830761,0.7824040984222029,0.7026692494298408
130,0.7831967182157225,0.7276906630415381,0.7718172835861015,0.6958170465899204
131,0.7812467966078612,0.724196894020769,0.7616410636680507,0.7063069607949601
132,0.7861312108039307,0.7285535251353845,0.7580177974590254,0.6915323866474801
133,0.7802726366519653,0.7143744188176923,0.7593799924795127,0.70416463082374
134,0.7629390527009827,0.6992282250338462,0.7712915587397564,0.71780497166187
135,0.7574460888504914,0.7065477062669231,0.7723645293698782,0.714859517080935
136,0.7693480444252456,0.7207054937584616,0.7770514053099391,0.7221758522904675
137,0.7591857409626228,0.7211925906292308,0.7725589057799696,0.7233926136452338
138,0.7699737298563114,0.7312017640646153,0.7676271091399848,0.7237568536976169
139,0.7602310055531557,0.7188723664073077,0.7885987108199923,0.7361460049738084
140,0.7834358152765779,0.7319947769536539,0.7854126366599962,0.7447819868619042
141,0.780145642013289,0.722686841601827,0.7694153027049981,0.7373812278059522
142,0.8019380553816444,0.7458649051759134,0.7501861669774991,0.7121964732779761
143,0.7959885589408222,0.7413406557129567,0.7618118334887496,0.717426361638988
144,0.7947227950954111,0.7466468903564784,0.7751930261193748,0.732004196444494
145,0.7874981162977055,0.7519855545532392,0.7916492474346875,0.7495470200972469
146,0.7785146831488527,0.7461099647766196,0.7737543112173437,0.7273125725486235
147,0.7688960134494264,0.7336506855133098,0.7882443431086719,0.7425625362743118
148,0.7809323817247131,0.7386515146316549,0.7857237340543359,0.7470136900121559
149,0.7867064252373566,0.7470113041908275,0.767373585777168,0.7267783293810779
150,0.7927672751186783,0.7533884645954138,0.775532496013584,0.748643070940539
151,0.7999480906843391,0.7682957947977069,0.773996716756792,0.7456594260952695
152,0.7866927953421696,0.7554857880238535,0.754185858378396,0.7104761974226348
153,0.7886100695460848,0.7515221908869267,0.762590976064198,0.7236463018363174
154,0.7949398003980424,0.7595501579434634,0.779488847407099,0.7241278384181586
155,,0.7584371883467317,0.7603498924535494,0.7126498567090793
156,,0.7666697660483659,0.7937491649767747,0.7489030533545397
157,,0.776157148649183,0.7884761449883874,0.7401741829272699
158,,0.7691820899495915,0.7824216662441936,0.7406925602136349
159,,0.7749719043497958,0.7627928643720968,0.7348482332318175
160,,0.7637066552998979,0.7961913540610484,0.7739182572409087
161,,0.759294733899949,0.7965331770305242,0.7673302223704543
162,,0.7566004919499745,0.8069579947652621,0.7672100330602272
163,,0.7637982928499872,0.798498528632631,0.7642202509051136
164,,0.7678854745499937,0.7815734830663155,0.7654109067025567
165,,0.7660228153999968,,0.7599027189762784
166,,0.7792516420749984,,0.7666701094881392
167,,0.7638933991624992,,0.7417334922440696
168,,0.7776986527062496,,0.7321948711220347
169,,0.7701969826031247,,0.7425622793110174
170,,0.7903719288015624,,0.7338299677805087
171,,0.7911820581507811,,0.7455770932652543
172,,0.7864601697003906,,0.7458354216326272
173,,0.7931324286001953,,0.7349782576913135
174,,0.7808435580500976,,0.7581141288456568
175,,0.7988690446500488,,0.7667523769228284
176,,0.7575888192000244,,0.7722922040864142
177,,0.7586772221000122,,0.7665171957932071
178,,0.7675222048000061,,0.7440984416466035
179,,0.778780633650003,,0.7519320333233017
180,,0.7853864105750015,,0.7775773447866509
181,,0.7857596115375007,,0.7769722661433254
182,,0.7874110557687504,,0.7671482424466627
183,,0.7901899028843752,,0.7695604493483313
184,,0.7815695608171875,,0.7563622559241656
185,,0.7606578272835938,,0.7666088623370828
186,,0.7729070386417969,,0.7673376342935414
187,,0.7782992224458984,,0.7767352233967707
188,,0.7958878924729492,,0.7755746429483854
189,,0.8078560556114747,,0.7598576339741927
190,,0.7947971684307373,,0.7620088951120964
191,,0.7658067873403687,,0.7735825725560481
192,,0.7759697999201843,,0.7886467550280241
193,,0.7786098999600921,,0.781286268139012
194,,0.7965315124800461,,0.794207587194506
195,,0.795238412490023,,0.788705356097253
196,,0.8014277999950115,,0.7852218186736265
197,,0.7957334312475057,,0.7700523155868133
198,,0.7848296062487529,,0.7778484234184067
199,,0.7884108968743764,,0.7763753835842033
200,,0.7794593546871882,,0.7858927699171017
201,,0.7874347554685941,,0.7659932599585508
202,,0.778971283984297,,0.7758188956042754
203,,0.7879231419921485,,0.7758489009271377
204,,0.7972818834960742,,
205,,0.8151448479980371,,
206,,0.8062540646240186,,
