step,value(earl-cpo),value(earl-grpo),value(earl-cpo-wop),value(earl-grpo-wop)
1,0.0234375,0.0234375,0.00634765625,0.00634765625
2,0.020751953125,0.02294921875,0.009765625,0.00830078125
3,0.0250244140625,0.025390625,0.011474609375,0.008544921875
4,0.03375244140625,0.029541015625,0.0137939453125,0.0111083984375
5,0.042022705078125,0.0384521484375,0.01885986328125,0.01239013671875
6,0.0537261962890625,0.04364013671875,0.023590087890625,0.011810302734375
7,0.05982208251953125,0.048431396484375,0.0301055908203125,0.0149383544921875
8,0.07068252563476562,0.0532684326171875,0.03385162353515625,0.02040863037109375
9,0.09344673156738281,0.06349945068359375,0.033039093017578125,0.021190643310546875
10,0.1111764907836914,0.07325363159179688,0.04044532775878906,0.030858993530273438
11,0.1171116828918457,0.07983970642089844,0.04414844512939453,0.03398418426513672
12,0.12520623207092285,0.09118938446044922,0.049662113189697266,0.03212881088256836
13,0.15220272541046143,0.10370016098022461,0.06682324409484863,0.04218745231628418
14,0.1705837845802307,0.1123969554901123,0.07686865329742432,0.04770505428314209
15,0.18587782979011536,0.13188207149505615,0.07969409227371216,0.053637683391571045
16,0.19523383677005768,0.13820666074752808,0.09331384301185608,0.06319579482078552
17,0.21456027776002884,0.14918145537376404,0.10158856213092804,0.07432250678539276
18,0.22031724825501442,0.15735439956188202,0.10597006231546402,0.07524719089269638
19,0.2388207335025072,0.175356887280941,0.11182292178273201,0.07912750169634819
20,0.2370861480012536,0.1701979748904705,0.115237632766366,0.0803352352231741
21,0.2450079177506268,0.18470836244523525,0.136964519508183,0.09387855511158705
22,0.2548281776253134,0.19904363434761763,0.1387947597540915,0.09942951193079352
23,0.2785371356876567,0.2091409577988088,0.13970987987704575,0.10269327159039676
24,0.29503028659382835,0.2278614945244044,0.14944478368852288,0.10261616704519838
25,0.3042534245469142,0.2345362160122022,0.16822825121926144,0.1301655053975992
26,0.3252224153984571,0.2652173267561011,0.16809850060963072,0.1224557995737996
27,0.32911511394922854,0.26151491337805055,0.18878557842981536,0.1342259466618998
28,0.34448919759961427,0.2791949566890253,0.20718575796490768,0.1491442233309499
29,0.33996920817480714,0.27729279084451264,0.20930576960745384,0.15318539291547495
30,0.36114671346240357,0.2873280360472563,0.23575640042872692,0.17644621208273747
31,0.3961495286062018,0.32042183052362816,0.24556374708936346,0.18661177791636874
32,0.3914341393031009,0.3335507590118141,0.26975452979468173,0.21122581083318437
33,0.41715261652655045,0.34158006700590704,0.28062921802234086,0.21401134291659218
34,0.4182931051382752,0.3631728460029535,0.29583218713617043,0.2276111402082961
35,0.4142246775691376,0.37348095425147676,0.3002598435680852,0.22318057010414805
36,0.4119463231595688,0.3705783677507384,0.3144365624090426,0.23268403505207402
37,0.4415688647047844,0.3925645745003692,0.3391030468295213,0.247201392526037
38,0.4473469323523922,0.3879326778751846,0.32970777341476065,0.2378585087630185
39,0.4468179974261961,0.3946499326875923,0.3450296679573803,0.24661480125650925
40,0.43776446746309805,0.38897535696879615,0.34365741210369016,0.24073904125325463
41,0.441050202481549,0.3841849441093981,0.3595728466768451,0.2583089737516273
42,0.4578297887407745,0.39839130017969904,0.38144657958842254,0.27173261187581366
43,0.44668833187038726,0.3857190875898495,0.41167055541921127,0.29529013406290683
44,0.43525822843519363,0.38988102816992476,0.41677277770960564,0.2963267076564534
45,0.4402853642175968,0.3992862172099624,0.4347047482298028,0.3063664788282267
46,0.4752696352337984,0.4244966242299812,0.4082703428649014,0.2845308956641134
47,0.4771367707418992,0.4207444058649906,0.4209320464324507,0.2948533384570567
48,0.5041933853709496,0.4484093123074953,0.4423996169662253,0.3061180754785283
49,0.4952607551854748,0.43953668740374763,0.42896348035811266,0.30808833461426416
50,0.4649155338427374,0.4136159999518738,0.4454387714290563,0.3198156516821321
